code,sw1,sw2,sw3
002658,机械设备,仪器仪表,仪器仪表
002659,建筑装饰,专业工程,钢结构
002660,电子,电子制造,电子零部件制造
002661,食品饮料,食品加工,食品综合
002662,汽车,汽车零部件,汽车零部件
002663,建筑装饰,园林工程,园林工程
002664,汽车,汽车零部件,汽车零部件
002665,电气设备,电源设备,火电设备
002666,化工,化学制品,其他化学制品
002667,机械设备,专用设备,冶金矿采化工设备
002668,家用电器,白色家电,冰箱
002669,化工,化学制品,其他化学制品
002670,非银金融,证券,证券
002671,建筑材料,其他建材,管材
002672,公用事业,环保工程及服务,环保工程及服务
002673,非银金融,证券,证券
002674,纺织服装,纺织制造,辅料
002675,医药生物,化学制药,化学制剂
002676,家用电器,白色家电,家电零部件
002677,家用电器,白色家电,小家电
002678,轻工制造,家用轻工,文娱用品
002679,农林牧渔,林业,林业
002680,医药生物,生物制品,生物制品
002681,家用电器,白色家电,小家电
002682,汽车,汽车服务,汽车服务
002683,化工,化学制品,民爆用品
002684,电子,其他电子,其他电子
002685,机械设备,专用设备,重型机械
002686,机械设备,通用机械,其它通用机械
002687,纺织服装,服装家纺,男装
002688,农林牧渔,动物保健,动物保健
002689,机械设备,专用设备,楼宇设备
002690,机械设备,专用设备,其它专用机械
002691,机械设备,专用设备,冶金矿采化工设备
002692,电气设备,高低压设备,线缆部件及其他
002693,医药生物,生物制品,生物制品
002694,建筑材料,其他建材,管材
002695,食品饮料,食品加工,肉制品
002696,农林牧渔,渔业,水产养殖
002697,商业贸易,一般零售,超市
002698,机械设备,专用设备,冶金矿采化工设备
002699,纺织服装,服装家纺,其他服装
002700,公用事业,燃气,燃气
002701,轻工制造,包装印刷,包装印刷
002702,食品饮料,食品加工,食品综合
002703,汽车,汽车零部件,汽车零部件
002705,家用电器,白色家电,小家电
002706,电气设备,高低压设备,低压设备
002707,休闲服务,旅游综合,旅游综合
002708,汽车,汽车零部件,汽车零部件
002709,化工,化学制品,其他化学制品
002710,医药生物,医疗服务,医疗服务
002711,交通运输,物流,物流
002712,传媒,营销传播,营销服务
002713,建筑装饰,装修装饰,装修装饰
002714,农林牧渔,畜禽养殖,畜禽养殖
002715,汽车,汽车零部件,汽车零部件
002716,有色金属,稀有金属,其他稀有小金属
002717,建筑装饰,园林工程,园林工程
002718,建筑材料,其他建材,其他建材
002719,食品饮料,食品加工,乳品
002720,纺织服装,纺织制造,辅料
002721,轻工制造,家用轻工,珠宝首饰
002722,机械设备,专用设备,纺织服装设备
002723,家用电器,白色家电,小家电
002724,电子,其他电子,其他电子
002725,汽车,汽车零部件,汽车零部件
002726,食品饮料,食品加工,肉制品
002727,医药生物,医药商业,医药商业
002728,医药生物,化学制药,化学制剂
002729,电子,其他电子,其他电子
002730,机械设备,专用设备,冶金矿采化工设备
002731,轻工制造,家用轻工,珠宝首饰
002732,食品饮料,食品加工,乳品
002733,电气设备,电源设备,储能设备
002734,化工,化学制品,农药
002735,轻工制造,包装印刷,包装印刷
002736,非银金融,证券,证券
002737,医药生物,中药,中药
002738,采掘,采掘服务,其他采掘服务
002739,传媒,文化传媒,影视动漫
002740,轻工制造,家用轻工,珠宝首饰
002741,化工,化学制品,其他化学制品
002742,建筑材料,其他建材,其他建材
002743,建筑装饰,专业工程,钢结构
002745,电子,光学光电子,LED
002746,农林牧渔,畜禽养殖,畜禽养殖
002747,电气设备,电气自动化设备,工控自动化
002748,化工,化学制品,其他化学制品
002749,化工,化学制品,农药
002750,医药生物,中药,中药
002751,轻工制造,其他轻工制造,其他轻工制造
002752,轻工制造,包装印刷,包装印刷
002753,化工,橡胶,炭黑
002755,建筑装饰,专业工程,化学工程
002756,钢铁,钢铁,特钢
002757,机械设备,专用设备,其它专用机械
002758,医药生物,医药商业,医药商业
002759,家用电器,白色家电,小家电
002760,机械设备,通用机械,磨具磨料
002761,纺织服装,服装家纺,家纺
002762,纺织服装,服装家纺,其他服装
002763,纺织服装,服装家纺,其他服装
002765,汽车,汽车零部件,汽车零部件
002766,计算机,计算机应用,IT服务
002767,电气设备,电气自动化设备,计量仪表
002768,化工,塑料,改性塑料
002769,交通运输,物流,物流
002770,食品饮料,食品加工,乳品
002771,计算机,计算机应用,IT服务
002772,农林牧渔,种植业,粮食种植
002773,医药生物,化学制药,化学制剂
002774,机械设备,专用设备,楼宇设备
002775,建筑装饰,园林工程,园林工程
002776,纺织服装,服装家纺,休闲服装
002777,计算机,计算机应用,IT服务
002778,化工,石油化工,石油加工
002779,机械设备,专用设备,其它专用机械
002780,纺织服装,服装家纺,其他服装
002781,建筑装饰,装修装饰,装修装饰
002782,电子,电子制造,电子零部件制造
002783,化工,化学制品,民爆用品
002785,建筑材料,其他建材,其他建材
002786,机械设备,专用设备,其它专用机械
002787,轻工制造,包装印刷,包装印刷
002788,医药生物,医药商业,医药商业
002789,建筑装饰,装修装饰,装修装饰
002790,轻工制造,家用轻工,其他家用轻工
002791,建筑材料,其他建材,其他建材
002792,通信,通信设备,通信传输设备
002793,机械设备,通用机械,其它通用机械
002795,建筑材料,其他建材,其他建材
002796,机械设备,通用机械,机械基础件
002797,非银金融,证券,证券
002798,轻工制造,家用轻工,其他家用轻工
002799,轻工制造,包装印刷,包装印刷
002800,交通运输,物流,物流
002801,电气设备,电机,电机
002802,化工,化学制品,其他化学制品
002803,轻工制造,包装印刷,包装印刷
002805,化工,化学原料,其他化学原料
002806,有色金属,工业金属,铝
002807,银行,银行,银行
002808,电子,光学光电子,光学元件
002809,化工,化学制品,其他化学制品
002810,化工,化学制品,其他化学制品
002811,建筑装饰,装修装饰,装修装饰
002812,轻工制造,包装印刷,包装印刷
002813,通信,通信设备,终端设备
002815,电子,元件,印制电路板
002816,机械设备,专用设备,其它专用机械
002817,医药生物,中药,中药
002818,商业贸易,商业物业经营,专业市场
002819,机械设备,仪器仪表,仪器仪表
002820,食品饮料,食品加工,食品综合
002821,医药生物,化学制药,化学原料药
002822,建筑装饰,装修装饰,装修装饰
002823,电气设备,电机,电机
002824,有色金属,工业金属,铝
002825,化工,塑料,其他塑料制品
002826,医药生物,中药,中药
002827,化工,化学制品,民爆用品
002828,采掘,采掘服务,油气钻采服务
002829,国防军工,航天装备,航天装备
002830,建筑装饰,装修装饰,装修装饰
002831,轻工制造,包装印刷,包装印刷
002832,纺织服装,服装家纺,其他服装
002833,机械设备,专用设备,其它专用机械
002835,计算机,计算机设备,计算机设备
002836,轻工制造,包装印刷,包装印刷
002837,机械设备,专用设备,其它专用机械
002838,化工,塑料,改性塑料
002839,银行,银行,银行
002840,食品饮料,食品加工,肉制品
002841,电子,光学光电子,显示器件
002842,有色金属,稀有金属,钨
002843,机械设备,金属制品,金属制品
002845,电子,光学光电子,显示器件
002846,轻工制造,包装印刷,包装印刷
002847,食品饮料,食品加工,食品综合
002848,家用电器,视听器材,其它视听器材
002849,机械设备,仪器仪表,仪器仪表
002850,电子,电子制造,电子零部件制造
002851,电气设备,电源设备,其它电源设备
002852,农林牧渔,农产品加工,粮油加工
002853,轻工制造,家用轻工,家具
002855,电子,电子制造,电子零部件制造
002856,建筑装饰,装修装饰,装修装饰
002857,机械设备,仪器仪表,仪器仪表
002858,传媒,文化传媒,其他文化传媒
002859,电子,半导体,集成电路
002860,家用电器,白色家电,家电零部件
002861,电子,电子制造,电子零部件制造
002862,轻工制造,家用轻工,文娱用品
002863,汽车,汽车零部件,汽车零部件
002864,医药生物,中药,中药
002865,汽车,汽车零部件,汽车零部件
002866,电子,元件,印制电路板
002867,轻工制造,家用轻工,珠宝首饰
002868,农林牧渔,动物保健,动物保健
002869,计算机,计算机应用,软件开发
002870,机械设备,仪器仪表,仪器仪表
002871,机械设备,通用机械,机械基础件
002872,医药生物,医药商业,医药商业
002873,医药生物,中药,中药
002875,纺织服装,服装家纺,其他服装
002876,电子,光学光电子,显示器件
002877,机械设备,通用机械,机械基础件
